Ano,Mes,Tema,Subtema,item,Viajeros
2017,Junio,Flujos turisticos,Flujo emisivo,Residentes,"6,670,364"
2017,Julio,Flujos turisticos,Flujo emisivo,Residentes,"6,207,624"
2017,Agosto,Flujos turisticos,Flujo emisivo,Residentes,"5,977,400"
2017,Septiembre,Flujos turisticos,Flujo emisivo,Residentes,"5,737,689"
2017,Octubre,Flujos turisticos,Flujo emisivo,Residentes,"7,648,610"
2017,Noviembre,Flujos turisticos,Flujo emisivo,Residentes,"7,887,282"
2017,Diciembre,Flujos turisticos,Flujo emisivo,Residentes,"7,646,787"
2017,Total,Flujos turisticos,Flujo emisivo,Residentes,"76,878,008"
2018,Enero,Flujos turisticos,Flujo emisivo,Residentes," 6,235,417 "
2018,Febrero,Flujos turisticos,Flujo emisivo,Residentes," 6,197,017 "
2018,Marzo,Flujos turisticos,Flujo emisivo,Residentes,"6,649,794"
2018,Abril,Flujos turisticos,Flujo emisivo,Residentes,"5,859,441"
2018,Mayo,Flujos turisticos,Flujo emisivo,Residentes,"6,081,815"
2018,Junio,Flujos turisticos,Flujo emisivo,Residentes,"6,991,187"
2018,Julio,Flujos turisticos,Flujo emisivo,Residentes,"6,152,056"
2018,Agosto,Flujos turisticos,Flujo emisivo,Residentes,"6,345,053"
2018,Septiembre,Flujos turisticos,Flujo emisivo,Residentes,"5,830,027"
2018,Octubre,Flujos turisticos,Flujo emisivo,Residentes,"6,826,698"
2018,Noviembre,Flujos turisticos,Flujo emisivo,Residentes,"7,050,026"
2018,Diciembre,Flujos turisticos,Flujo emisivo,Residentes,"6,829,001"
2018,Total,Flujos turisticos,Flujo emisivo,Residentes,"77,047,532"
2019,Enero,Flujos turisticos,Flujo emisivo,Residentes," 6,250,061 "
2019,Febrero,Flujos turisticos,Flujo emisivo,Residentes," 6,332,940 "
2019,Marzo,Flujos turisticos,Flujo emisivo,Residentes," 7,657,634 "
2019,Abril,Flujos turisticos,Flujo emisivo,Residentes," 6,384,326 "
2019,Mayo,Flujos turisticos,Flujo emisivo,Residentes,"6,097,801"
2019,Junio,Flujos turisticos,Flujo emisivo,Residentes," 6,759,888 "
2019,Julio,Flujos turisticos,Flujo emisivo,Residentes," 5,963,100 "
2019,Agosto,Flujos turisticos,Flujo emisivo,Residentes," 6,338,397 "
2019,Septiembre,Flujos turisticos,Flujo emisivo,Residentes," 5,741,154 "
2019,Octubre,Flujos turisticos,Flujo emisivo,Residentes," 6,792,196 "
2019,Noviembre,Flujos turisticos,Flujo emisivo,Residentes,"7,069,248"
2019,Diciembre,Flujos turisticos,Flujo emisivo,Residentes," 7,489,902 "
2019,Total,Flujos turisticos,Flujo emisivo,Residentes,"78,876,647"
2010,Enero,Flujos turisticos,Conexiones,Personas en conexion,"200,926"
2010,Febrero,Flujos turisticos,Conexiones,Personas en conexion,"130,675"
2010,Marzo,Flujos turisticos,Conexiones,Personas en conexion,"208,324"
2010,Abril,Flujos turisticos,Conexiones,Personas en conexion,"225,699"
2010,Mayo,Flujos turisticos,Conexiones,Personas en conexion,"218,077"
2010,Junio,Flujos turisticos,Conexiones,Personas en conexion,"279,407"
2010,Julio,Flujos turisticos,Conexiones,Personas en conexion,"323,081"
2010,Agosto,Flujos turisticos,Conexiones,Personas en conexion,"293,441"
2010,Septiembre,Flujos turisticos,Conexiones,Personas en conexion,"252,016"
2010,Octubre,Flujos turisticos,Conexiones,Personas en conexion,"260,204"
2010,Noviembre,Flujos turisticos,Conexiones,Personas en conexion,"246,749"
2010,Diciembre,Flujos turisticos,Conexiones,Personas en conexion,"95,401"
2010,Total,Flujos turisticos,Conexiones,Personas en conexion,"2,734,000"
2011,Enero,Flujos turisticos,Conexiones,Personas en conexion,"243,840"
2011,Febrero,Flujos turisticos,Conexiones,Personas en conexion,"149,661"
2011,Marzo,Flujos turisticos,Conexiones,Personas en conexion,"220,738"
2011,Abril,Flujos turisticos,Conexiones,Personas en conexion,"280,352"
2011,Mayo,Flujos turisticos,Conexiones,Personas en conexion,"238,619"
2011,Junio,Flujos turisticos,Conexiones,Personas en conexion,"325,459"
2011,Julio,Flujos turisticos,Conexiones,Personas en conexion,"504,437"
2011,Agosto,Flujos turisticos,Conexiones,Personas en conexion,"443,958"
2011,Septiembre,Flujos turisticos,Conexiones,Personas en conexion,"443,000"
2011,Octubre,Flujos turisticos,Conexiones,Personas en conexion,"422,447"
2011,Noviembre,Flujos turisticos,Conexiones,Personas en conexion,"448,439"
2011,Diciembre,Flujos turisticos,Conexiones,Personas en conexion,"637,401"
2011,Total,Flujos turisticos,Conexiones,Personas en conexion,"4,358,351"
2012,Enero,Flujos turisticos,Conexiones,Personas en conexion,"632,009"
2012,Febrero,Flujos turisticos,Conexiones,Personas en conexion,"417,187"
2012,Marzo,Flujos turisticos,Conexiones,Personas en conexion,"414,677"
2012,Abril,Flujos turisticos,Conexiones,Personas en conexion,"408,040"
2012,Mayo,Flujos turisticos,Conexiones,Personas en conexion,"342,228"
2012,Junio,Flujos turisticos,Conexiones,Personas en conexion,"464,886"
2012,Julio,Flujos turisticos,Conexiones,Personas en conexion,"467,596"
2012,Agosto,Flujos turisticos,Conexiones,Personas en conexion,"570,570"
2012,Septiembre,Flujos turisticos,Conexiones,Personas en conexion,"488,273"
2012,Octubre,Flujos turisticos,Conexiones,Personas en conexion,"487,671"
2012,Noviembre,Flujos turisticos,Conexiones,Personas en conexion,"498,063"
2012,Diciembre,Flujos turisticos,Conexiones,Personas en conexion,"565,926"
2012,Total,Flujos turisticos,Conexiones,Personas en conexion,"5,757,126"
2013,Enero,Flujos turisticos,Conexiones,Personas en conexion,"572,363"
2013,Febrero,Flujos turisticos,Conexiones,Personas en conexion,"422,527"
2013,Marzo,Flujos turisticos,Conexiones,Personas en conexion,"480,152"
2013,Abril,Flujos turisticos,Conexiones,Personas en conexion,"510,364"
2013,Mayo,Flujos turisticos,Conexiones,Personas en conexion,"456,868"
2013,Junio,Flujos turisticos,Conexiones,Personas en conexion,"559,942"
2013,Julio,Flujos turisticos,Conexiones,Personas en conexion,"594,487"
2013,Agosto,Flujos turisticos,Conexiones,Personas en conexion,"1,024,872"
2013,Septiembre,Flujos turisticos,Conexiones,Personas en conexion,"709,071"
2013,Octubre,Flujos turisticos,Conexiones,Personas en conexion,"869,155"
2013,Noviembre,Flujos turisticos,Conexiones,Personas en conexion,"2,075,005"
2013,Diciembre,Flujos turisticos,Conexiones,Personas en conexion,"945,164"
2013,Total,Flujos turisticos,Conexiones,Personas en conexion,"9,219,970"
2014,Enero,Flujos turisticos,Conexiones,Personas en conexion,"688,662"
2014,Febrero,Flujos turisticos,Conexiones,Personas en conexion,"883,825"
2014,Marzo,Flujos turisticos,Conexiones,Personas en conexion,"712,163"
2014,Abril,Flujos turisticos,Conexiones,Personas en conexion,"1,111,452"
2014,Mayo,Flujos turisticos,Conexiones,Personas en conexion,"725,292"
2014,Junio,Flujos turisticos,Conexiones,Personas en conexion,"947,491"
2014,Julio,Flujos turisticos,Conexiones,Personas en conexion,"1,086,966"
2014,Agosto,Flujos turisticos,Conexiones,Personas en conexion,"1,068,457"
2014,Septiembre,Flujos turisticos,Conexiones,Personas en conexion,"983,039"
2014,Octubre,Flujos turisticos,Conexiones,Personas en conexion,"1,136,330"
2014,Noviembre,Flujos turisticos,Conexiones,Personas en conexion,"853,658"
2014,Diciembre,Flujos turisticos,Conexiones,Personas en conexion,"1,015,396"
2014,Total,Flujos turisticos,Conexiones,Personas en conexion,"11,212,731"
2015,Enero,Flujos turisticos,Conexiones,Personas en conexion,"1,124,594"
2015,Febrero,Flujos turisticos,Conexiones,Personas en conexion,"1,267,651"
2015,Marzo,Flujos turisticos,Conexiones,Personas en conexion,"1,059,809"
2015,Abril,Flujos turisticos,Conexiones,Personas en conexion,"1,307,090"
2015,Mayo,Flujos turisticos,Conexiones,Personas en conexion,"965,202"
2015,Junio,Flujos turisticos,Conexiones,Personas en conexion,"1,005,916"
2015,Julio,Flujos turisticos,Conexiones,Personas en conexion,"883,762"
2015,Agosto,Flujos turisticos,Conexiones,Personas en conexion,"1,273,914"
2015,Septiembre,Flujos turisticos,Conexiones,Personas en conexion,"1,173,593"
2015,Octubre,Flujos turisticos,Conexiones,Personas en conexion,"747,159"
2015,Noviembre,Flujos turisticos,Conexiones,Personas en conexion,"789,561"
2015,Diciembre,Flujos turisticos,Conexiones,Personas en conexion,"1,161,218"
2015,Total,Flujos turisticos,Conexiones,Personas en conexion,"12,759,469"
2016,Enero,Flujos turisticos,Conexiones,Personas en conexion,"833,436"
2016,Febrero,Flujos turisticos,Conexiones,Personas en conexion,"906,628"
2016,Marzo,Flujos turisticos,Conexiones,Personas en conexion,"1,075,738"
2016,Abril,Flujos turisticos,Conexiones,Personas en conexion,"1,206,570"
2016,Mayo,Flujos turisticos,Conexiones,Personas en conexion,"802,701"
2016,Junio,Flujos turisticos,Conexiones,Personas en conexion,"1,073,245"
2016,Julio,Flujos turisticos,Conexiones,Personas en conexion,"1,193,280"
2016,Agosto,Flujos turisticos,Conexiones,Personas en conexion,"1,325,900"
2016,Septiembre,Flujos turisticos,Conexiones,Personas en conexion,"1,011,360"
2016,Octubre,Flujos turisticos,Conexiones,Personas en conexion,"1,135,204"
2016,Noviembre,Flujos turisticos,Conexiones,Personas en conexion,"1,113,078"
2016,Diciembre,Flujos turisticos,Conexiones,Personas en conexion,"1,294,759"
2016,Total,Flujos turisticos,Conexiones,Personas en conexion,"12,971,899"
2017,Enero,Flujos turisticos,Conexiones,Personas en conexion,"1,514,908"
2017,Febrero,Flujos turisticos,Conexiones,Personas en conexion,"769,423"
2017,Marzo,Flujos turisticos,Conexiones,Personas en conexion,"762,139"
2017,Abril,Flujos turisticos,Conexiones,Personas en conexion,"1,029,096"
2017,Mayo,Flujos turisticos,Conexiones,Personas en conexion,"767,165"
2017,Junio,Flujos turisticos,Conexiones,Personas en conexion,"900,015"
2017,Julio,Flujos turisticos,Conexiones,Personas en conexion,"946,953"
2017,Agosto,Flujos turisticos,Conexiones,Personas en conexion,"1,168,310"
2017,Septiembre,Flujos turisticos,Conexiones,Personas en conexion,"924,299"
2017,Octubre,Flujos turisticos,Conexiones,Personas en conexion,"642,217"
2017,Noviembre,Flujos turisticos,Conexiones,Personas en conexion,"700,013"
2017,Diciembre,Flujos turisticos,Conexiones,Personas en conexion,"1,225,231"
2017,Total,Flujos turisticos,Conexiones,Personas en conexion,"11,349,769"
2018,Enero,Flujos turisticos,Conexiones,Personas en conexion," 1,408,954 "
2018,Febrero,Flujos turisticos,Conexiones,Personas en conexion," 1,411,147 "
2018,Marzo,Flujos turisticos,Conexiones,Personas en conexion,"1,488,902"
2018,Abril,Flujos turisticos,Conexiones,Personas en conexion,"1,326,812"
2018,Mayo,Flujos turisticos,Conexiones,Personas en conexion,"1,417,726"
2018,Junio,Flujos turisticos,Conexiones,Personas en conexion,"1,636,412"
2018,Julio,Flujos turisticos,Conexiones,Personas en conexion,"1,825,511"
2018,Agosto,Flujos turisticos,Conexiones,Personas en conexion,"1,578,497"
2018,Septiembre,Flujos turisticos,Conexiones,Personas en conexion,"1,469,207"
2018,Octubre,Flujos turisticos,Conexiones,Personas en conexion,"1,360,516"
