TEMA,SUBTEMA,VARIABLE,CLASE,Fuente,AnO,Valor
PIB,Participacion % ,Porcentaje,Sector: Comercio al por mayor y al por menor; reparacion de vehiculos automotores y motocicletas; Transporte y almacenamiento; Alojamiento y servicios de comida/ PIB Bogota,"Departamento Administrativo Nacional de Estadistica- DANE, Cuentas Nacionales",2014,19.40%
Informacion Destacada del turismo internacional,Mundo Entero,Llegadas de Turistas Internacionales,Millones de Personas,International Tourism Highlights (2012-2019),2014,1133
Informacion Destacada del turismo internacional,Mundo Entero,Exportaciones Totales de Turismo Internacional,(ingresos + transporte de pasajeros) Trillones de Dolares ,International Tourism Highlights (2012-2019),2014,1.5
Informacion Destacada del turismo internacional,Mundo Entero,Transporte Internacional de Pasajeros,Millones de Personas,International Tourism Highlights (2012-2019),2014,221
Informacion Destacada del turismo internacional,Mundo Entero,Ingresos por turismo internacional,Billones de Dolares ,International Tourism Highlights (2012-2019),2014,1245
Informacion Destacada del turismo internacional,Europa,Llegadas de Turistas Internacionales,Millones de Personas,International Tourism Highlights (2012-2019),2014,582
Informacion Destacada del turismo internacional,Americas,Llegadas de Turistas Internacionales,Millones de Personas,International Tourism Highlights (2012-2019),2014,181
Informacion Destacada del turismo internacional,Asia y el Pacifico,Llegadas de Turistas Internacionales,Millones de Personas,International Tourism Highlights (2012-2019),2014,263
Informacion Destacada del turismo internacional,Africa,Llegadas de Turistas Internacionales,Millones de Personas,International Tourism Highlights (2012-2019),2014,56
Informacion Destacada del turismo internacional,Medio Oriente,Llegadas de Turistas Internacionales,Millones de Personas,International Tourism Highlights (2012-2019),2014,51
Informacion Destacada del turismo internacional,Europa,Exportaciones Totales de Turismo Internacional,(ingresos + transporte de pasajeros) Billones de Dolares ,International Tourism Highlights (2012-2019),2014,509
Informacion Destacada del turismo internacional,Americas,Exportaciones Totales de Turismo Internacional,(ingresos + transporte de pasajeros) Billones de Dolares ,International Tourism Highlights (2012-2019),2014,274
Informacion Destacada del turismo internacional,Asia y el Pacifico,Exportaciones Totales de Turismo Internacional,(ingresos + transporte de pasajeros) Billones de Dolares ,International Tourism Highlights (2012-2019),2014,377
Informacion Destacada del turismo internacional,Africa,Exportaciones Totales de Turismo Internacional,(ingresos + transporte de pasajeros) Billones de Dolares ,International Tourism Highlights (2012-2019),2014,36
Informacion Destacada del turismo internacional,Medio Oriente,Exportaciones Totales de Turismo Internacional,(ingresos + transporte de pasajeros) Billones de Dolares ,International Tourism Highlights (2012-2019),2014,49
Informacion Destacada del turismo internacional,Mundo Entero,Proposito del Viaje,"Ocio,recreacion,vacaciones",International Tourism Highlights (2012-2019),2014,53.00%
Informacion Destacada del turismo internacional,Mundo Entero,Proposito del Viaje,"VFR, salud,religion, otro",International Tourism Highlights (2012-2019),2014,27.00%
Informacion Destacada del turismo internacional,Mundo Entero,Proposito del Viaje,Negocios y profesional,International Tourism Highlights (2012-2019),2014,14.00%
Informacion Destacada del turismo internacional,Mundo Entero,Proposito del Viaje,No especificado,International Tourism Highlights (2012-2019),2014,6.00%
Informacion Destacada del turismo internacional,Mundo Entero,Medio de Transporte,Aire,International Tourism Highlights (2012-2019),2014,54.00%
Informacion Destacada del turismo internacional,Mundo Entero,Medio de Transporte,Terrestre y tren,International Tourism Highlights (2012-2019),2014,41.00%
Informacion Destacada del turismo internacional,Mundo Entero,Medio de Transporte,Agua,International Tourism Highlights (2012-2019),2014,5.00%
Prestadores de Servicios Turisticos - PST,Agencia de viajes,Total,,"Camara de Comercio de Bogota- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT",2015,1484
Prestadores de Servicios Turisticos - PST,Arrendadores de vehiculos para turismo nacional e internacional,Total,,"Camara de Comercio de Bogota- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT",2015,39
Prestadores de Servicios Turisticos - PST,Concesionarios de servicios turisticos en parque,Total,,"Camara de Comercio de Bogota- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT",2015,
Prestadores de Servicios Turisticos - PST,Empresa de tiempo compartido y multipropiedad,Total,,"Camara de Comercio de Bogota- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT",2015,18
Prestadores de Servicios Turisticos - PST,Empresa de transporte terrestre automotor,Total,,"Camara de Comercio de Bogota- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT",2015,76
